,,Amanita gemmata,Amanita muscaria,Amanita rubescens,Coltricia perennis,Cortinarius fusisporus,Cortinarius croceus,Cortinarius croceoconus,Cortinarius semisanguineus,Gomphidius roseus,Inocybe brevispora,Inocybe lacera,Inocybe ovatocystis,Laccaria bicolor,Laccaria proxima,Lactarius hepaticus,Lactarius necator,Lactarius rufus,Leccinum scabrum,Paxillus involutus,Rhizopogon luteolus,Russula adusta,Russula aeruginea,Russula emetica,Russula ochroleuca,Russula paludosa,Russula parazurea,Russula vesca,Scleroderma citrinum,Suillus bovinus,Thelephora terrestris,Tricholoma albobrunneum,Xerocomus badius,Xerocomus subtomentosus,Number of sporocarps,Number of species
,,Amangemm,Amanmusc,Amanrube,Coltpere,Cortfusi,Cortcroc,Cortcrcc,Cortsemi,Gomprose,Inocbrev,Inoclace,Inocovat,Laccbico,Laccprox,Lacthepa,Lactneca,Lactrufu,Leccscab,Paxiinvo,Rhizlute,Russadus,Russaeru,Russemet,Russochr,Russpalu,Russpara,Russvesc,Sclecitr,Suilbovi,Thelterr,Tricalbo,Xerobadi,Xerosubt,Ncarp,Nspec
St5 C 2,St5 C 2,,,,,,,,,,,,,1.125,,104.063,0.563,1.125,1.125,7.313,,,,,,,,,,,,,,,115.31,5.56
St5 C 4,St5 C 4,,,,,,,,,,,,0.563,3.938,,1.688,,,,0.563,,,,,,0.563,,,,,,,3.375,,10.69,4.69
St5 C 5,St5 C 5,,,,,,,,,,,,,,,66.938,,,,,,,,6.188,,,,,,,1.688,,,,74.81,3
St5 C 7,St5 C 7,,,,,,,,,,,,,1.125,,73.688,,,,,,,,1.688,,,,,,,,,,,76.5,3
St5 S 1,St5 S 1,1.688,,1.688,,2.813,,,,,,,,338.625,33.188,147.938,,,,,,,,,,,,,,,2.813,,2.813,,531.57,8
St5 S 3,St5 S 3,,,,,136.688,,,,,,16.875,,723.375,22.5,33.75,,6.188,,,3.938,,,,,,,,,,57.938,,10.125,,1011.38,9
St5 S 6,St5 S 6,2.25,,,,24.75,,,,,,,0.563,220.5,18.563,114.75,,,,1.125,2.25,,,0.563,,,,,,,7.875,,,,393.19,9.13
St5 S 8,St5 S 8,,0.563,,,0.563,,,,,,,,276.188,,91.125,,0.563,,,5.625,,,,0.563,,,,,,,,,,375.19,5.25
St6 C 1,St6 C 1,,,,,,,,,,,,,,0.563,0.563,,,,,,,,,0.563,,,,,,,,,,1.69,1.69
St6 C 4,St6 C 4,,,,,,,,,,,,,,,3.938,,,,,,,,,,,,,,,,,3.938,,7.88,2
St6 C 5,St6 C 5,,,,,,,,,,,,,,12.938,12.938,,0.563,,,,,,,1.125,,,,,,,,,,27.56,3.56
St6 C 8,St6 C 8,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,4.5,1
St6 S 2,St6 S 2,0.563,,,,,,,,,,,,6.75,212.625,32.625,,3.375,,,,,0.563,,0.563,,0.563,,,,,,5.625,,263.25,7.25
St6 S 3,St6 S 3,1.688,0.563,,,,,,,,,11.25,,132.188,325.125,65.25,,,,1.125,,,,,8.438,,,,,,,,,,545.63,7.56
St6 S 6,St6 S 6,,,1.125,,0.563,,,,,,84.375,,1.688,232.875,17.438,,,,1.125,5.625,,,,7.313,,,,,,0.563,,7.313,,360,10.13
St6 S 7,St6 S 7,,0.563,0.563,,,,,,,1.688,23.625,,91.125,2.813,12.375,0.563,,,,,,,,,,,,,,20.25,,1.688,,155.25,8.69
