,,agroscap,anthoodo,arctouva,aulacpal,betulpen,betulpub,brachoed,brachref,brachsal,brachsta,brachvel,buxbaaph,calamaru,calluvul,carexcan,carexnig,carexova,carexpil,cephacon,cephl-sp,ceratpur,cetraisl,chameang,cirsipal,cladoano,cladoarb,cladobac,cladobot,cladocen,cladochl,cladococ,cladocor,cladocri,cladodef,cladodig,cladogra,cladomac,cladomit,cladoran,cladoste,cladosul,cynodstr,deschces,deschfle,dicradru,dicrafus,dicramon,dicrapol,dicrasco,dicraspu,drepaunc,dryopcar,dryopexp,empetnig,festuovi,frangaln,galeotet,galiualb,hieratri,hieravul,hylocspl,junipcom,lepidrep,leptopyr,linnabor,lophcbid,lophchet,luzulpil,lycodcom,maianbif,melampra,piceaabi,pinussyl,plagtden,plagtlae,pleuzsch,poa  pra,pohlinut,polytcom,polytfor,polytjun,polytlon,popultre,prunupad,ptildcil,ptildpul,ptilicri,rubusida,rumexact,salixcap,senecsyl,solidvir,sorbuauc,sphagcap,stellgra,tarax-sp,tayloten,tetrapel,trapegra,trieneur,vaccimyr,vaccivit,veronoff
,,agroscap,anthoodo,arctouva,aulacpal,betulpen,betulpub,brachoed,brachref,brachsal,brachsta,brachvel,buxbaaph,calamaru,calluvul,carexcan,carexnig,carexova,carexpil,cephacon,cephl-sp,ceratpur,cetraisl,chameang,cirsipal,cladoano,cladoarb,cladobac,cladobot,cladocen,cladochl,cladococ,cladocor,cladocri,cladodef,cladodig,cladogra,cladomac,cladomit,cladoran,cladoste,cladosul,cynodstr,deschces,deschfle,dicradru,dicrafus,dicramon,dicrapol,dicrasco,dicraspu,drepaunc,dryopcar,dryopexp,empetnig,festuovi,frangaln,galeotet,galiualb,hieratri,hieravul,hylocspl,junipcom,lepidrep,leptopyr,linnabor,lophcbid,lophchet,luzulpil,lycodcom,maianbif,melampra,piceaabi,pinussyl,plagtden,plagtlae,pleuzsch,poa  pra,pohlinut,polytcom,polytfor,polytjun,polytlon,popultre,prunupad,ptildcil,ptildpul,ptilicri,rubusida,rumexact,salixcap,senecsyl,solidvir,sorbuauc,sphagcap,stellgra,tarax-sp,tayloten,tetrapel,trapegra,trieneur,vaccimyr,vaccivit,veronoff
27,27,,,,,,0.1,0.1,,,,,,,0.1,,,,,,,,0.1,0.1,,0.1,0.1,,,0.1,,,0.1,0.1,,0.1,,,,,,,,,60,,,0.1,0.5,0.1,,,,,,,,,,,,0.1,,,,,,,0.1,,,0.1,0.5,,,0.1,35,,0.5,,,,,0.1,,,0.1,,,,,,,,,,,,,0.1,0.1,7,0.1,
28,28,,,0.1,,0.1,0.1,,,,,,,,7,,,,,,,,0.1,0.1,,0.1,0.1,,,,,,0.1,0.1,,,,,,0.1,,0.5,,,2,,,,15,,,,,,0.1,,,,,0.1,,0.5,,,,,,,0.1,,,7,0.5,0.1,,,60,,0.5,,,0.1,,,,,,,,,,,,,,,,,,,,15,0.5,
29,29,,,0.5,,,,,,,,,,0.1,7,,,,,,,,7,0.1,,0.1,0.1,,0.1,0.1,0.1,0.1,0.1,0.1,,,,,0.1,2,,0.1,,,0.1,,,0.1,2,0.5,0.1,,,,2,,,,,0.1,,,,,,,,,0.1,,,,0.5,,,,35,,2,,,0.1,,0.1,,,0.1,,,,0.1,,0.1,,,,,,,,,7,0.5,
30,30,,0.1,,,,0.1,0.5,,0.1,,,,,0.1,,,,,,,,0.5,2,,0.1,0.5,,,,,,0.1,0.1,,,,,,0.5,,0.1,,,60,,,,0.5,0.1,,,0.1,,,,,0.1,,0.1,,,,,,,,,0.1,,,,2,0.1,0.1,0.1,15,,0.5,,,0.1,,,,,0.1,,0.1,0.1,,,,0.1,,0.1,,,,,,2,0.1,
31,31,0.1,,0.1,,0.1,0.1,2,,,,,,,0.1,,,,,,0.1,,0.1,2,,0.1,0.1,,,,0.1,,0.1,,,,,,0.1,,,0.1,,,60,,,,0.5,0.1,,,0.1,,0.1,,,0.1,,,,,,,,,,0.1,,,,,0.5,,,0.1,7,,0.5,0.1,,0.1,,,,,0.1,,0.1,0.5,,0.1,,0.1,,,0.1,,,,0.1,0.5,0.1,0.1
32,32,0.1,,,,0.1,0.5,0.1,,,,,,,0.5,,,,,,,,2,0.1,,0.1,0.1,,,,0.1,,0.1,0.1,,,,,,0.1,,0.1,,,60,,,0.1,0.5,0.1,0.1,,0.1,,,,,,,,,,,,,,,,0.1,,,,0.1,,,0.1,15,,0.5,0.1,,0.5,0.5,,,,,,0.1,0.1,0.1,,,0.1,,,,,,,,2,0.1,
33,33,,,0.1,,,0.1,,,,,,,,7,,,,,,0.1,,0.5,0.1,,0.1,0.5,,0.1,0.1,0.1,,0.1,,,,,,,0.5,,0.1,,,7,,0.1,0.1,7,0.5,0.1,,,,0.5,,,,,,,,0.1,,,,,,0.1,,,0.1,0.1,0.1,,0.1,60,,0.5,,,0.1,,,,,0.1,,,,,,,0.1,,,,,,0.1,,60,2,
34,34,,,,,0.1,0.1,0.5,0.1,0.1,,,,,0.5,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,60,,0.1,0.1,0.1,0.5,,,0.5,0.1,,,,,,0.1,,,,,,,,0.1,0.1,,0.1,,0.1,0.1,0.1,0.1,7,,0.5,,,,0.1,,0.1,,,,2,0.1,,,,0.1,,,,,,,0.1,0.5,0.1,
35,35,,,0.1,,,0.1,,,,,,0.1,,35,,,,,,,,2,0.1,,0.1,0.5,,,0.1,0.1,,0.1,0.1,,,,,,2,0.1,0.1,,,2,,0.1,,2,0.5,0.1,,,,0.1,,,,,,,,0.1,,,,,,0.1,,,0.1,0.5,0.1,,,60,,0.5,,,,,,,,0.1,,,,0.1,,,0.1,,,,,,0.1,,15,2,
36,36,,,,,0.1,0.1,0.5,0.1,,0.1,,,,0.1,,,,,,0.1,,0.1,0.1,,,0.1,,,,,0.1,0.1,0.1,,,,,,0.1,,0.1,,,80,,,,2,2,,,0.1,,0.1,,,,,,,,,0.1,,,,0.1,,,,,0.5,,0.1,0.5,7,,0.5,,0.1,0.1,0.1,,,,0.1,,0.5,,,,,0.1,,,,,,,0.1,2,0.1,
